wave,match,int_corr,samerace,age_o,race_o,age,race,imprace,income,income_num,age_gap
1,0,0.140,0,27,2.000,21.000,4.000,2.000,69,487.00,69487.000,6.000
1,0,0.140,0,27,2.000,21.000,4.000,2.000,69,487.00,69487.000,6.000
1,0,0.540,0,22,2.000,21.000,4.000,2.000,69,487.00,69487.000,1.000
1,0,0.540,0,22,2.000,21.000,4.000,2.000,69,487.00,69487.000,1.000
1,1,0.160,1,22,4.000,21.000,4.000,2.000,69,487.00,69487.000,1.000
1,1,0.160,1,22,4.000,21.000,4.000,2.000,69,487.00,69487.000,1.000
1,1,0.160,1,22,4.000,21.000,4.000,2.000,69,487.00,69487.000,1.000
1,1,0.160,1,22,4.000,21.000,4.000,2.000,69,487.00,69487.000,1.000
1,1,0.610,0,23,2.000,21.000,4.000,2.000,69,487.00,69487.000,2.000
1,1,0.610,0,23,2.000,21.000,4.000,2.000,69,487.00,69487.000,2.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,1,0.210,0,24,3.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,0,0.250,0,25,2.000,21.000,4.000,2.000,69,487.00,69487.000,4.000
1,0,0.250,0,25,2.000,21.000,4.000,2.000,69,487.00,69487.000,4.000
1,0,0.340,0,30,2.000,21.000,4.000,2.000,69,487.00,69487.000,9.000
1,0,0.340,0,30,2.000,21.000,4.000,2.000,69,487.00,69487.000,9.000
1,0,0.500,0,27,2.000,21.000,4.000,2.000,69,487.00,69487.000,6.000
1,0,0.500,0,27,2.000,21.000,4.000,2.000,69,487.00,69487.000,6.000
1,0,0.500,0,27,2.000,21.000,4.000,2.000,69,487.00,69487.000,6.000
1,1,0.280,0,28,2.000,21.000,4.000,2.000,69,487.00,69487.000,7.000
1,1,0.280,0,28,2.000,21.000,4.000,2.000,69,487.00,69487.000,7.000
1,1,0.280,0,28,2.000,21.000,4.000,2.000,69,487.00,69487.000,7.000
1,0,-0.360,0,24,2.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,0,-0.360,0,24,2.000,21.000,4.000,2.000,69,487.00,69487.000,3.000
1,0,0.290,1,27,2.000,24.000,2.000,2.000,65,929.00,65929.000,3.000
1,0,0.180,1,22,2.000,24.000,2.000,2.000,65,929.00,65929.000,2.000
1,0,0.100,0,22,4.000,24.000,2.000,2.000,65,929.00,65929.000,2.000
1,0,0.100,0,22,4.000,24.000,2.000,2.000,65,929.00,65929.000,2.000
1,0,0.100,0,22,4.000,24.000,2.000,2.000,65,929.00,65929.000,2.000
1,1,-0.210,1,23,2.000,24.000,2.000,2.000,65,929.00,65929.000,1.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.320,0,24,3.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,0.730,1,25,2.000,24.000,2.000,2.000,65,929.00,65929.000,1.000
1,0,0.600,1,30,2.000,24.000,2.000,2.000,65,929.00,65929.000,6.000
1,0,0.070,1,27,2.000,24.000,2.000,2.000,65,929.00,65929.000,3.000
1,1,0.110,1,28,2.000,24.000,2.000,2.000,65,929.00,65929.000,4.000
1,0,0.390,1,24,2.000,24.000,2.000,2.000,65,929.00,65929.000,0.000
1,0,-0.180,1,27,2.000,23.000,2.000,1.000,37,754.00,37754.000,4.000
1,0,-0.180,1,22,2.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.050,0,22,4.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.050,0,22,4.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.050,0,22,4.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,1,-0.180,1,23,2.000,23.000,2.000,1.000,37,754.00,37754.000,0.000
1,0,0.210,0,24,3.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.210,0,24,3.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.210,0,24,3.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.210,0,24,3.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.210,0,24,3.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.210,0,24,3.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.210,0,24,3.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,0.370,1,25,2.000,23.000,2.000,1.000,37,754.00,37754.000,2.000
1,0,0.350,1,30,2.000,23.000,2.000,1.000,37,754.00,37754.000,7.000
1,0,0.150,1,27,2.000,23.000,2.000,1.000,37,754.00,37754.000,4.000
1,1,-0.470,1,28,2.000,23.000,2.000,1.000,37,754.00,37754.000,5.000
1,0,-0.190,1,24,2.000,23.000,2.000,1.000,37,754.00,37754.000,1.000
1,0,-0.430,1,27,2.000,21.000,2.000,8.000,86,340.00,86340.000,6.000
1,0,0.000,1,22,2.000,21.000,2.000,8.000,86,340.00,86340.000,1.000
1,0,-0.170,0,22,4.000,21.000,2.000,8.000,86,340.00,86340.000,1.000
1,0,-0.170,0,22,4.000,21.000,2.000,8.000,86,340.00,86340.000,1.000
1,1,0.080,1,23,2.000,21.000,2.000,8.000,86,340.00,86340.000,2.000
1,0,-0.160,0,24,3.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,-0.160,0,24,3.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,-0.160,0,24,3.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,-0.160,0,24,3.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,-0.160,0,24,3.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,-0.160,0,24,3.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,-0.160,0,24,3.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,0.060,1,25,2.000,21.000,2.000,8.000,86,340.00,86340.000,4.000
1,0,-0.050,1,30,2.000,21.000,2.000,8.000,86,340.00,86340.000,9.000
1,0,0.070,1,27,2.000,21.000,2.000,8.000,86,340.00,86340.000,6.000
1,1,-0.130,1,28,2.000,21.000,2.000,8.000,86,340.00,86340.000,7.000
1,0,-0.060,1,24,2.000,21.000,2.000,8.000,86,340.00,86340.000,3.000
1,0,0.330,0,27,2.000,23.000,4.000,1.000,60,304.00,60304.000,4.000
1,0,0.330,0,27,2.000,23.000,4.000,1.000,60,304.00,60304.000,4.000
1,0,0.370,0,22,2.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.370,0,22,2.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,0.370,0,22,2.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,-0.510,1,22,4.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,-0.510,1,22,4.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
1,0,-0.510,1,22,4.000,23.000,4.000,1.000,60,304.00,60304.000,1.000
